//ThID;Ci;Mi;Di;Mdur;SH;MH
1;1919;50;1902114;72;0;1
2;2975;93;1448928;72;0;0
3;626;0;1280929;72;0;1
4;242;67;855631;72;0;0
5;2099;0;1922519;72;0;1
6;1979;0;1581164;72;0;0
7;194;0;1980426;72;0;0
8;2060;0;1722365;72;0;0
9;851;0;1088925;72;0;0
10;401;22;1878523;72;0;0
11;2363;0;1311330;72;0;1
12;974;0;599793;72;0;1
13;506;54;1882301;72;0;1
14;953;0;720337;72;0;1
15;635;0;367229;72;0;0
16;1892;69;989144;72;0;0
17;2777;17;1251289;72;0;0
18;2180;0;1225434;72;0;0
19;2327;0;1016979;72;0;0
20;2915;0;1602334;72;0;1
21;1898;0;769698;72;0;1
22;1016;0;1099207;72;0;0
23;1601;0;1257200;72;0;0
24;275;21;902913;72;0;0
25;602;0;422956;72;0;0
26;1628;0;1900332;72;0;1
27;1811;84;1891852;72;0;0
28;2642;58;1924117;72;0;0
29;317;0;1192492;72;0;0
30;1352;0;989968;72;0;0
31;2930;0;1442498;72;0;0
32;2513;0;1034294;72;0;1
33;2210;0;1415204;72;0;1
34;404;73;1034817;72;1;1
35;1892;0;974729;72;0;0
36;1346;0;1162232;72;0;0
37;1301;91;1250726;72;0;0
38;959;85;1378492;72;0;0
39;134;0;187292;72;0;1
40;1424;55;1927832;72;0;0
41;1253;39;1553470;72;0;0
42;785;0;1094883;72;0;0
43;374;74;1834138;72;0;1
44;1286;0;487666;72;0;0
45;1466;81;543915;72;0;1
46;1847;10;492035;72;0;0
47;2117;0;1267142;72;0;0
48;1415;100;1551826;72;0;0
49;2660;0;987253;72;0;1
50;1685;0;1821972;72;0;1
51;2300;0;817140;72;0;0
52;1460;50;1624262;72;0;0
53;1691;0;731547;72;0;1
54;2009;0;1003412;72;0;1
55;1229;97;1725713;72;0;1
56;734;0;990527;72;0;0
57;2804;37;1447228;72;0;0
58;665;56;768467;72;0;1
59;2159;35;1573557;72;0;1
60;590;0;1813628;72;0;1
