//Fsys;FSmarg;Minindistance;WL
36;6;9;3200;1;0
//ThID;TF;SHT;HM;TW
34;0,925925418;1;1;32
50;0,925925418;1;1;32
3;0,490269172;0;1;61
7;0,098968606;0;0;303
46;3,900129056;1;1;9
29;0,267507036;0;0;112
49;2,696370637;0;1;11
24;0,469591201;0;0;63
32;2,431610355;0;1;12
42;0,718798264;0;0;41
53;2,314273724;0;1;9
9;0,783341369;0;0;38
31;2,03258514;0;0;14
22;0,926122195;0;0;32
20;1,82046939;0;1;16
55;1,106788904;0;1;27
15;1,734612463;0;0;17
36;1,159837279;0;0;25
28;1,585142691;0;0;18
27;1,26912676;0;0;23
59;1,529019921;0;1;19
60;0,326417545;0;1;91
