//Fsys;FSmarg;Minindistance;WL
30;0;9;2700;1;0
//ThID;TF;SHT;HM;TW
5;1,092837054;1;1;27
58;1,378068284;0;1;21
51;2,817142717;1;0;9
2;2,50392014;0;1;11
43;0,48742243;0;1;61
17;2,316011729;0;0;12
56;0,743038807;0;0;40
57;2,119452773;0;0;14
26;0,857744857;0;1;34
35;1,943323494;0;0;15
41;0,983604447;0;0;30
18;1,780593651;0;0;16
38;1,128769699;0;0;26
12;1,62722806;0;1;18
6;1,252874465;0;0;23
37;1,551235551;0;1;19
8;1,278866758;0;0;23
30;1,367720977;0;0;21
14;1,325768356;0;1;22
23;1,276172279;0;0;23
