//Fsys;FSmarg;Minindistance;WL
90;0;9;2880;1;0
//ThID;TF;SHT;HM;TW
21;2,47;1;1;36
5;1,235;1;1;72
34;1,235;1;1;72
50;1,235;1;1;72
1;1,193934748;0;1;75
2;2,50392014;0;1;35
3;0,490269172;0;1;183
4;0,833303141;0;0;108
6;1,252874465;0;0;71
7;0,098968606;0;0;909
8;1,278866758;0;0;70
9;0,783341369;0;0;114
10;0,296509545;0;0;303
11;1,803512464;0;1;49
12;1,62722806;0;1;55
13;0,470700488;0;1;191
14;1,325768356;0;1;67
15;1,734612463;0;0;51
16;2,403087922;0;0;37
17;2,316011729;0;0;38
18;1,780593651;0;0;50
19;2,290116118;0;0;39
20;1,82046939;0;1;49
22;0,926122195;0;0;97
23;1,276172279;0;0;70
24;0,469591201;0;0;191
25;1,428044525;0;0;63
26;0,857744857;0;1;104
27;1,26912676;0;0;70
28;1,585142691;0;0;56
29;0,267507036;0;0;336
30;1,367720977;0;0;65
31;2,03258514;0;0;44
32;2,431610355;0;1;37
33;1,563025543;0;1;57
35;1,943323494;0;0;46
36;1,159837279;0;0;77
37;1,551235551;0;1;58
38;1,128769699;0;0;79
39;0,726138863;0;1;123
40;0,939397209;0;0;95
41;0,983604447;0;0;91
42;0,718798264;0;0;125
43;0,48742243;0;1;184
44;2,641151936;0;0;34
45;3,741393416;0;1;24
46;3,900129056;0;1;10
47;1,672267197;0;0;53
48;1,364199337;0;0;65
49;2,696370637;0;1;30
51;2,817142717;0;0;31
52;1,11558357;0;0;80
53;2,314273724;0;1;38
54;2,0041618;0;1;44
55;1,106788904;0;1;81
56;0,743038807;0;0;121
57;2,119452773;0;0;42
58;1,378068284;0;1;65
59;1,529019921;0;1;58
60;0,326417545;0;1;275
