//Fsys;FSmarg;Minindistance;WL
45;0;9;3456;1;0
//ThID;TF;SHT;HM;TW
34;0,93;1;1;48
50;0,93;1;1;48
20;1,82046939;0;1;24
45;3,741393416;1;1;12
29;0,267507036;0;0;168
49;2,696370637;0;1;12
60;0,326417545;0;1;137
2;2,50392014;0;1;17
13;0,470700488;0;1;95
16;2,403087922;0;0;18
3;0,490269172;0;1;91
53;2,314273724;0;1;19
39;0,726138863;0;1;61
57;2,119452773;0;0;21
9;0,783341369;0;0;57
54;2,0041618;0;1;22
26;0,857744857;0;1;52
11;1,803512464;0;1;24
40;0,939397209;0;0;47
15;1,734612463;0;0;25
55;1,106788904;0;1;40
12;1,62722806;0;1;27
38;1,128769699;0;0;39
33;1,563025543;0;1;28
1;1,193934748;0;1;37
59;1,529019921;0;1;29
27;1,26912676;0;0;35
58;1,378068284;0;1;32
8;1,278866758;0;0;35
48;1,364199337;0;0;32
22;0,926122195;0;0;48
